FeatureImportance,Feature
0.130057121,weight
0.125386466,height
0.114742243,age
0.106824788,gdp_per_capita
0.029612406,nationality_athletics
0.019364188,sport_USA
0.01855402,nationality_aquatics
0.016376997,sex_male
0.014370929,sport_GBR
0.014269124,sex_female
0.014186323,sport_GER
0.014007737,nationality_football
0.013269902,nationality_hockey
0.011324294,nationality_cycling
0.011144998,sport_RUS
0.010713922,sport_CHN
0.010464296,nationality_rugby sevens
0.009966764,nationality_canoe
0.0096737,nationality_sailing
0.009614428,nationality_rowing
0.008860116,nationality_judo
0.00874802,nationality_volleyball
0.00870845,sport_FRA
0.008689358,sport_CAN
0.008295857,sport_BRA
0.008134411,nationality_handball
0.00806234,nationality_basketball
0.007618709,nationality_fencing
0.007340762,nationality_shooting
0.007202718,nationality_wrestling
0.007087778,sport_AUS
0.007061909,nationality_gymnastics
0.006641676,sport_JAM
0.006429109,sport_ESP
0.006225448,sport_JPN
0.005944897,nationality_weightlifting
0.005936329,nationality_badminton
0.005840554,nationality_taekwondo
0.005710657,nationality_equestrian
0.005474235,sport_NZL
0.005226843,sport_ITA
0.005009294,nationality_tennis
0.004973767,sport_NED
0.004848654,sport_POL
0.004796732,sport_ARG
0.00440348,sport_SWE
0.004177322,sport_BEL
0.004086378,nationality_table tennis
0.003959524,nationality_golf
0.00390671,nationality_archery
0.003740646,sport_RSA
0.003736051,sport_KOR
0.003546443,nationality_triathlon
0.003513775,sport_CRO
0.003336697,sport_MEX
0.003258047,nationality_modern pentathlon
0.003218802,sport_DEN
0.003176217,sport_KEN
0.00287369,sport_HUN
0.002811646,sport_BLR
0.002789495,sport_COL
0.00275313,sport_CZE
0.002694076,sport_SUI
0.002587291,sport_AUT
0.002502449,sport_POR
0.002354004,sport_AZE
0.002320498,sport_KAZ
0.002247078,sport_UKR
0.002244014,sport_TUR
0.002226726,sport_GRE
0.002158511,sport_ETH
0.001949806,sport_IRL
0.001884572,sport_SLO
0.001750786,sport_FIJ
0.001717684,sport_EGY
0.001679181,sport_BUL
0.00163396,sport_MAS
0.001598074,sport_SVK
0.001589876,sport_FIN
0.001502586,sport_UZB
0.001457266,sport_IND
0.001377139,sport_THA
0.001365812,sport_QAT
0.00133134,sport_LTU
0.001306928,sport_ISR
0.001282167,sport_GEO
0.0011913,sport_ARM
0.001172585,sport_TUN
0.001137617,sport_EST
0.001105848,sport_NGR
0.001064595,sport_INA
0.001064086,sport_BRN
0.00105251,sport_ALG
0.001028184,sport_HKG
0.001023301,sport_CHI
0.000801437,sport_BAH
0.000789741,sport_SIN
0.000778288,sport_LAT
0.000730506,sport_MGL
0.00058197,sport_BDI
0.000450743,sport_HON
0.000429874,sport_PER
0.000397242,sport_MDA
0.000386678,sport_MAR
0.00034255,sport_VIE
0.000308027,sport_SEN
0.000304593,sport_ECU
0.000301977,sport_DOM
0.000297358,sport_CIV
0.000291385,sport_ANG
0.000289111,sport_UAE
0.000264911,sport_PHI
0.000264507,sport_KGZ
0.000263056,sport_CYP
0.000245675,sport_CMR
0.000236548,sport_ZIM
0.000230901,sport_IRQ
0.000215151,sport_ISL
0.000209898,sport_SEY
0.000183738,sport_KSA
0.000179284,sport_URU
0.000167966,sport_GAB
0.000153042,sport_JOR
0.000148346,sport_ANT
0.000146157,sport_LUX
0.00014286,sport_PAN
0.00014276,sport_LIB
0.0001306,sport_CRC
0.000129029,sport_GUA
0.000120696,sport_BAR
0.000105566,sport_ALB
0.00010102,sport_MLT
8.91E-05,sport_LCA
8.48E-05,sport_NOR
8.45E-05,sport_PLW
8.16E-05,sport_TKM
7.94E-05,sport_PAR
7.73E-05,sport_CAM
7.53E-05,sport_HAI
7.46E-05,sport_MRI
6.86E-05,sport_TGA
6.78E-05,sport_TAN
6.14E-05,sport_NEP
6.11E-05,sport_GBS
5.35E-05,sport_GHA
5.06E-05,sport_BEN
4.88E-05,sport_CPV
4.69E-05,sport_GUI
4.63E-05,sport_BOL
4.16E-05,sport_TJK
4.16E-05,sport_BIZ
4.04E-05,sport_ZAM
4.03E-05,sport_SUD
4.03E-05,sport_RWA
3.78E-05,sport_CGO
3.76E-05,sport_MLI
3.63E-05,sport_NRU
3.40E-05,sport_MAD
3.12E-05,sport_BUR
2.99E-05,sport_NIG
2.87E-05,sport_MKD
2.83E-05,sport_MOZ
2.82E-05,sport_BOT
2.75E-05,sport_BIH
2.69E-05,sport_COM
2.64E-05,sport_SAM
2.58E-05,sport_SKN
2.57E-05,sport_SRI
2.49E-05,sport_PAK
2.29E-05,sport_NAM
2.14E-05,sport_FSM
2.09E-05,sport_MAW
1.97E-05,sport_DMA
1.73E-05,sport_GUY
1.51E-05,sport_ESA
1.42E-05,sport_NCA
1.36E-05,sport_VIN
1.32E-05,sport_CAF
1.29E-05,sport_MYA
1.20E-05,sport_AFG
1.18E-05,sport_BRU
1.13E-05,sport_DJI
9.51E-06,sport_LAO
9.42E-06,sport_CHA
8.01E-06,sport_OMA
3.46E-06,sport_YEM
3.10E-06,sport_VAN
2.88E-06,sport_STP
2.50E-06,sport_GEQ
2.39E-06,sport_SWZ
1.06E-06,sport_TOG
0,sport_SUR
0,sport_SOL
0,sport_LES
0,sport_GRN
0,sport_COD
0,sport_BHU
0,sport_BAN
